Sample_ID	Exp	Number_of_variants	Well	Column	Row_num	Plate	Compound	Concentration	Solvent	Individual
Plate2G7	ALE1	1	G7	7	2	2	Glyphosate	50	Water	Yes
Plate2G8	ALE1	1	G8	8	2	2	Ibuprofen	50	DMSO	Yes
Plate2G9	ALE1	1	G9	9	2	2	Levamisole	50	DMSO	Yes
Plate2H1	ALE1	2	H1	1	1	2	Donepezil	50	DMSO	Yes
Plate2H10	ALE1	2	H10	10	1	2	Loperamide	50	DMSO	Yes
Plate2H2	ALE1	2	H2	2	1	2	Duloxetine	50	DMSO	Yes
Plate2H3	ALE1	5	H3	3	1	2	Emtricitabine	50	DMSO	Yes
Plate2H4	ALE1	3	H4	4	1	2	Ethanol	50	Water	Yes
Plate2H5	ALE1	3	H5	5	1	2	Ethinyl_estradiol	50	DMSO	Yes
Plate2H6	ALE1	1	H6	6	1	2	Ezetimibe	50	DMSO	Yes
Plate2H7	ALE1	7	H7	7	1	2	Glyphosate	50	Water	Yes
Plate2H8	ALE1	3	H8	8	1	2	Ibuprofen	50	DMSO	Yes
Plate2H9	ALE1	5	H9	9	1	2	Levamisole	50	DMSO	Yes
Plate3A10	ALE1	3	A10	10	8	3	Rosuvastatin	25	DMSO	No
Plate3A11	ALE1	2	A11	11	8	3	Simvastatin	25	DMSO	No
Plate3A12	ALE1	4	A12	12	8	3	Water_control	0	Water_control	No
Plate3A2	ALE1	1	A2	2	8	3	Olaparib	25	DMSO	No
Plate3A6	ALE1	6	A6	6	8	3	Progestogen	25	DMSO	No
Plate3A8	ALE1	2	A8	8	8	3	Roflumilast	25	DMSO	No
Plate3A9	ALE1	1	A9	9	8	3	Rosiglitazone	25	DMSO	No
Plate3C11	ALE1	1	C11	11	6	3	Simvastatin	25	DMSO	No
Plate3C12	ALE1	8	C12	12	6	3	Water_control	0	Water_control	No
Plate3D9	ALE1	1	D9	9	5	3	Rosiglitazone	25	DMSO	No
Plate3E12	ALE1	2	E12	12	4	3	DMSO_control	0	DMSO_control	No
Plate3G10	ALE1	2	G10	10	2	3	Rosuvastatin	50	DMSO	No
Plate3G11	ALE1	1	G11	11	2	3	Simvastatin	50	DMSO	No
Plate3G4	ALE1	1	G4	4	2	3	PFNA	50	DMSO	No
Plate3G7	ALE1	2	G7	7	2	3	Ranitidine	50	DMSO	No
Plate3G8	ALE1	3	G8	8	2	3	Roflumilast	50	DMSO	No
Plate3G9	ALE1	1	G9	9	2	3	Rosiglitazone	50	DMSO	No
Plate3H1	ALE1	2	H1	1	1	3	Montelukast	50	DMSO	No
Plate3H10	ALE1	5	H10	10	1	3	Rosuvastatin	50	DMSO	No
Plate3H2	ALE1	7	H2	2	1	3	Olaparib	50	DMSO	No
Plate3H3	ALE1	4	H3	3	1	3	PFOA	50	DMSO	No
Plate3H4	ALE1	1	H4	4	1	3	PFNA	50	DMSO	No
Plate3H5	ALE1	5	H5	5	1	3	Permethrin	50	DMSO	No
Plate3H8	ALE1	5	H8	8	1	3	Roflumilast	50	DMSO	No
Plate3H9	ALE1	4	H9	9	1	3	Rosiglitazone	50	DMSO	No
Plate4A1	ALE1	1	A1	1	8	4	Stevioside	25	DMSO	No
Plate4A4	ALE1	1	A4	4	8	4	Xanthan_gum	25	Water	No
Plate4A7	ALE1	1	A7	7	8	2	DMSO_control	0	DMSO_control	No
Plate4B1	ALE1	1	B1	1	7	4	Stevioside	25	DMSO	No
Plate4B4	ALE1	2	B4	4	7	4	Xanthan_gum	25	Water	No
Plate4D4	ALE1	1	D4	4	5	4	Xanthan_gum	25	Water	No
Plate4E1	ALE1	1	E1	1	4	4	Stevioside	50	DMSO	No
Plate4E3	ALE1	1	E3	3	4	4	Tenofovir	50	DMSO	No
Plate4E4	ALE1	1	E4	4	4	4	Xanthan_gum	50	Water	No
Plate4E6	ALE1	1	E6	6	4	4	Curcumin	50	DMSO	No
Plate4F1	ALE1	1	F1	1	3	4	Stevioside	50	DMSO	No
Plate4G1	ALE1	2	G1	1	2	4	Stevioside	50	DMSO	No
Plate4G4	ALE1	2	G4	4	2	4	Xanthan_gum	50	Water	No
Plate4H1	ALE1	5	H1	1	1	4	Stevioside	50	DMSO	No
Plate4H2	ALE1	5	H2	2	1	4	Sulfasalazine	50	DMSO	No
Plate4H3	ALE1	4	H3	3	1	4	Tenofovir	50	DMSO	No
Plate4H4	ALE1	3	H4	4	1	4	Xanthan_gum	50	Water	No
Plate4H5	ALE1	1	H5	5	1	4	DMSO_control	0	DMSO_control	No
Plate4H6	ALE1	1	H6	6	1	4	Curcumin	50	DMSO	No
