Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000006560	Isolate	5139058	51	344468	46.16	99.26	0.37	0	99.67	99.49	20	GCA_009020135	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944067	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006560.gff.gz
MGYG000006721	Isolate	4970798	78	166144	46.37	99.26	0.56	0	99.67	99.49	20	GCA_009020775	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944033	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006721.gff.gz
MGYG000006746	Isolate	4921789	614	13793	46.03	98.35	0.74	0	99.67	99.49	20	GCA_009019655	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944091	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006746.gff.gz
MGYG000006932	Isolate	4909838	80	206557	46.24	99.26	0	0	99.67	99.49	20	GCA_009019135	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944119	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006932.gff.gz
MGYG000007039	Isolate	5349415	92	107765	46.16	99.26	0.37	0	99.67	99.49	20	GCA_009020445	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944050	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007039.gff.gz
MGYG000007132	MAG	3227856	955	3836	47.57	78.18	1.83	94.96	23.42	0	18	GUT_GENOME230704	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS295003	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007132.gff.gz
MGYG000007169	MAG	4569614	284	24977	47.11	75.16	4.31	0	0	0	15	GUT_GENOME246083	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS1066647	ERP013933	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007169.gff.gz
MGYG000007234	MAG	3025563	263	19825	47.71	80.35	0.37	0	0	0	18	GUT_GENOME151959	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	NA	NA	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007234.gff.gz
MGYG000007242	MAG	3892784	226	26892	47.38	90.93	0.87	0	0	5.26	19	GUT_GENOME284381	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS436739	ERP005534	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007242.gff.gz
MGYG000007251	MAG	3724924	390	13779	47.32	82.07	2.59	0	0	0	17	GUT_GENOME093606	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS608523	ERP008729	Austria	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007251.gff.gz
MGYG000007351	MAG	3222523	310	14878	47.62	72.59	4.31	0	0	0	14	GUT_GENOME249068	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1846763	SRP094805	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007351.gff.gz
MGYG000007365	MAG	4196001	35	168542	46.5	99.26	0.31	0	0	12.96	20	GUT_GENOME271672	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS972006	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007365.gff.gz
MGYG000007373	MAG	3569194	93	57418	46.89	76.72	1.72	0	0	5.37	17	GUT_GENOME178308	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS259524	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007373.gff.gz
MGYG000007399	MAG	3757926	262	21603	47.15	68.28	0.34	0	13.76	0	18	GUT_GENOME030078	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS848664	ERP012177	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007399.gff.gz
MGYG000007421	MAG	3922133	103	75190	47.24	89.54	3.44	0	0	0	16	GUT_GENOME240819	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1719317	SRP090628	Russia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007421.gff.gz
MGYG000007560	MAG	3666288	336	15762	46.92	93.68	0.25	0	0	0	20	GUT_GENOME105104	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS235525	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007560.gff.gz
MGYG000007677	MAG	4419624	59	142544	46.25	97.11	0.37	94.96	0	5.37	19	GUT_GENOME017045	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1997038	SRP100575	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007677.gff.gz
MGYG000007829	MAG	3980678	36	197038	46.39	89.29	0	0	0	5.37	19	GUT_GENOME130937	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1993539	SRP100446	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007829.gff.gz
MGYG000007883	Isolate	4413808	58	250794	46.61	99.26	0.68	0	99.67	99.49	20	GUT_GENOME001468	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN09734894	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007883.gff.gz
MGYG000007983	MAG	3493010	53	98945	47.38	89.9	0	0	0	0	19	GUT_GENOME131942	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	NA	NA	Germany	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000007983.gff.gz
MGYG000008024	MAG	3356893	143	40692	47.51	69.48	0	0	0	0	14	GUT_GENOME259456	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS746953	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008024.gff.gz
MGYG000008194	MAG	4113642	44	128282	46.62	98.88	0	0	0	0	20	GUT_GENOME111293	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS328915	ERP003612	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008194.gff.gz
MGYG000008196	MAG	3526681	107	64555	47.49	80.48	1.4	0	0	4.92	17	GUT_GENOME245061	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS1066725	ERP013933	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008196.gff.gz
MGYG000008301	MAG	3915607	621	8672	46.93	89.79	0.84	0	0	0	20	GUT_GENOME106513	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS235588	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008301.gff.gz
MGYG000008338	MAG	4461190	89	94016	46.49	74.31	0.86	0	20.61	0	18	GUT_GENOME040394	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS1066697	ERP013933	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008338.gff.gz
MGYG000008348	MAG	3563454	548	8587	47.72	61.21	1.72	0	0	0	15	GUT_GENOME105847	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS235553	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008348.gff.gz
MGYG000008361	Isolate	4586075	158	60401	46.37	98.39	0.37	0	99.67	99.49	20	GUT_GENOME096161	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN02463765	PRJNA224116	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008361.gff.gz
MGYG000008458	MAG	2836459	43	117607	47.6	69.14	0.37	0	0	0	17	GUT_GENOME222976	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1719171	SRP090628	Finland	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008458.gff.gz
MGYG000008466	MAG	2774936	956	3308	47.45	76.32	3.56	0	0	0	19	GUT_GENOME083769	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS537297	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008466.gff.gz
MGYG000008467	MAG	3073152	367	11164	47.9	59.14	1.72	0	0	11.15	16	GUT_GENOME030507	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS848688	ERP012177	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008467.gff.gz
MGYG000008482	MAG	3279435	62	149678	47.28	76.43	1.8	0	0	0	17	GUT_GENOME003637	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS473148	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008482.gff.gz
MGYG000008540	MAG	3977426	81	74554	46.87	95.93	2.04	94.96	0	5.98	20	GUT_GENOME052493	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS199294	ERP002061	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008540.gff.gz
MGYG000008545	MAG	3322575	60	91859	46.68	64.66	0	0	0	0	17	GUT_GENOME032843	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS1015677	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008545.gff.gz
MGYG000008584	MAG	4344778	205	30409	46.66	96.19	1.12	0	0	0	18	GUT_GENOME241702	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1735537	SRP090628	Estonia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008584.gff.gz
MGYG000008667	MAG	4186717	35	187801	46.52	95.17	0	0	0	0	20	GUT_GENOME254006	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS746945	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008667.gff.gz
MGYG000008670	MAG	3825077	151	41668	46.68	77.41	1.72	0	0	0	20	GUT_GENOME261876	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	NA	NA	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008670.gff.gz
MGYG000008681	MAG	4549585	156	108354	47.33	94.42	0.5	94.12	99.67	99.83	20	GUT_GENOME079274	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS473323	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008681.gff.gz
MGYG000008695	MAG	4101453	140	46130	46.75	95.19	1.43	0	0	0	19	GUT_GENOME062542	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS473384	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008695.gff.gz
MGYG000008745	MAG	3866712	82	78684	47.01	74.83	0	0	0	0	19	GUT_GENOME017474	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1997002	SRP100575	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008745.gff.gz
MGYG000008756	MAG	2864848	112	50390	47.81	57.76	0	0	0	0	15	GUT_GENOME255397	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS746855	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008756.gff.gz
MGYG000008758	MAG	2585485	244	18655	48.17	58.1	0	84.87	42.6	99.83	16	GUT_GENOME082197	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS537240	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008758.gff.gz
MGYG000008832	MAG	4038114	686	7106	47.39	71.71	0	0	0	0	13	GUT_GENOME182234	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1719216	SRP090628	Finland	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000008832.gff.gz
