Plate	Rep	Row	Column	OD	Well	Antibiotic	Concentration	Group	Evol_compound	Compound_conc
5002_1	Rep_2	A	9	0.202	A9	Metronidazole	55.36	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	1	0.994	G1	Amoxicillin	3.125	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	7	0.977	H7	Meropenem	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	3	0.731	C3	Azithromycin	4	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	6	0.841	D6	Erythromycin	1.05	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	8	0.971	H8	Methicillin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	5	0.396	D5	Doxycycline	0.16	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	5	0.751	F5	Doxycycline	0.04	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	6	0.371	A6	Erythromycin	8.4	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	7	0.7	D7	Meropenem	0.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	10	0.978	F10	Ofloxacin	0.78125	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	2	0.325	F2	Ampicillin	7.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	9	0.944	G9	Metronidazole	0.865	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	1	0.989	H1	Amoxicillin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	5	0.316	B5	Doxycycline	0.64	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	12	0.77	E12	Teicoplanin	18.75	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	3	0.98	G3	Azithromycin	0.25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	2	0.172	D2	Ampicillin	30	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	2	0.99	H2	Ampicillin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	3	0.953	E3	Azithromycin	1	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	2	0.179	E2	Ampicillin	15	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	7	0.174	B7	Meropenem	2	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	12	0.178	B12	Teicoplanin	150	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	10	0.973	D10	Ofloxacin	3.125	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	10	0.965	E10	Ofloxacin	1.5625	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	1	0.179	A1	Amoxicillin	200	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	1	0.178	B1	Amoxicillin	100	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	3	0.975	F3	Azithromycin	0.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	7	0.868	G7	Meropenem	0.0625	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	9	0.219	C9	Metronidazole	13.84	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	7	0.243	C7	Meropenem	1	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	2	0.195	B2	Ampicillin	120	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	9	0.902	F9	Metronidazole	1.73	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	9	0.703	E9	Metronidazole	3.46	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	8	0.673	F8	Methicillin	37.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	5	0.819	G5	Doxycycline	0.02	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	8	0.171	A8	Methicillin	1200	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	5	0.598	E5	Doxycycline	0.08	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	5	0.283	C5	Doxycycline	0.32	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	1	0.947	F1	Amoxicillin	6.25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	9	0.21	B9	Metronidazole	27.68	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	1	0.813	E1	Amoxicillin	12.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	11	0.151	E11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	11	0.153	H11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	4	0.754	E4	Chloramphenicol	6	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	4	0.92	F4	Chloramphenicol	3	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	6	0.282	C6	Erythromycin	2.1	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	8	0.179	D8	Methicillin	150	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	11	0.152	D11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	3	0.396	A3	Azithromycin	16	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	8	0.407	E8	Methicillin	75	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	4	0.989	H4	Chloramphenicol	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	12	0.641	D12	Teicoplanin	37.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	12	0.801	F12	Teicoplanin	9.375	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	6	0.94	F6	Erythromycin	0.2625	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	7	0.878	F7	Meropenem	0.125	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	8	0.713	G8	Methicillin	18.75	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	6	0.908	E6	Erythromycin	0.525	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	7	0.175	A7	Meropenem	4	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	11	0.152	G11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	2	0.597	G2	Ampicillin	3.75	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	4	0.381	A4	Chloramphenicol	96	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	3	0.933	D3	Azithromycin	2	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	11	0.149	A11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	10	0.96	G10	Ofloxacin	0.390625	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	11	0.148	C11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	4	0.353	B4	Chloramphenicol	48	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	9	0.969	H9	Metronidazole	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	2	0.177	C2	Ampicillin	60	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	1	0.179	C1	Amoxicillin	50	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	4	0.545	D4	Chloramphenicol	12	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	4	0.939	G4	Chloramphenicol	1.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	5	0.343	A5	Doxycycline	1.28	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	12	0.227	C12	Teicoplanin	75	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	6	0.977	H6	Erythromycin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	3	1.008	H3	Azithromycin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	8	0.172	B8	Methicillin	600	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	10	0.215	A10	Ofloxacin	25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	6	0.351	B6	Erythromycin	4.2	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	9	0.231	D9	Metronidazole	6.92	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	12	0.187	A12	Teicoplanin	300	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	4	0.329	C4	Chloramphenicol	24	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	6	0.932	G6	Erythromycin	0.13125	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	10	0.863	C10	Ofloxacin	6.25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	F	11	0.158	F11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	3	0.391	B3	Azithromycin	8	Rep_2_5002_1	Parental	0
5002_1	Rep_2	E	7	0.761	E7	Meropenem	0.25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	C	8	0.175	C8	Methicillin	300	Rep_2_5002_1	Parental	0
5002_1	Rep_2	D	1	0.448	D1	Amoxicillin	25	Rep_2_5002_1	Parental	0
5002_1	Rep_2	A	2	0.174	A2	Ampicillin	240	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	12	0.867	H12	Teicoplanin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	G	12	0.827	G12	Teicoplanin	4.6875	Rep_2_5002_1	Parental	0
5002_1	Rep_3	B	5	0.3	B5	Doxycycline	0.64	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	8	0.173	C8	Methicillin	300	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	8	0.68	G8	Methicillin	18.75	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	10	0.987	H10	Ofloxacin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	3	1.018	E3	Azithromycin	1	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	12	0.86	G12	Teicoplanin	4.6875	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	1	1.049	H1	Amoxicillin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	7	0.175	A7	Meropenem	4	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	9	0.208	B9	Metronidazole	27.68	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	10	0.989	G10	Ofloxacin	0.390625	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	7	0.179	B7	Meropenem	2	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	7	0.182	C7	Meropenem	1	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	8	0.183	B8	Methicillin	600	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	7	0.469	D7	Meropenem	0.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	9	0.211	A9	Metronidazole	55.36	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	6	0.551	C6	Erythromycin	2.1	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	12	0.202	C12	Teicoplanin	75	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	11	0.13	A11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	2	0.358	F2	Ampicillin	7.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	11	0.13	C11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	11	0.131	H11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	4	0.873	E4	Chloramphenicol	6	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	12	0.159	B12	Teicoplanin	150	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	6	0.332	A6	Erythromycin	8.4	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	9	1.023	G9	Metronidazole	0.865	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	6	0.97	E6	Erythromycin	0.525	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	2	0.175	D2	Ampicillin	30	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	5	0.303	D5	Doxycycline	0.16	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	2	0.986	H2	Ampicillin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	9	1.035	F9	Metronidazole	1.73	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	5	0.826	F5	Doxycycline	0.04	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	1	0.881	F1	Amoxicillin	6.25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	9	0.775	E9	Metronidazole	3.46	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	7	0.81	E7	Meropenem	0.25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	12	0.901	H12	Teicoplanin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	7	0.906	F7	Meropenem	0.125	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	10	0.971	E10	Ofloxacin	1.5625	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	1	0.863	E1	Amoxicillin	12.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	3	0.84	B3	Azithromycin	8	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	1	0.17	B1	Amoxicillin	100	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	8	0.703	F8	Methicillin	37.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	8	0.528	E8	Methicillin	75	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	4	0.943	F4	Chloramphenicol	3	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	4	0.754	D4	Chloramphenicol	12	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	1	0.779	D1	Amoxicillin	25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	6	0.943	D6	Erythromycin	1.05	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	5	0.297	A5	Doxycycline	1.28	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	11	0.13	B11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	3	1.005	F3	Azithromycin	0.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	12	0.304	D12	Teicoplanin	37.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	3	1.041	D3	Azithromycin	2	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	9	0.996	H9	Metronidazole	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	3	0.403	A3	Azithromycin	16	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	10	0.381	B10	Ofloxacin	12.5	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	4	0.297	A4	Chloramphenicol	96	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	4	1.026	H4	Chloramphenicol	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	5	0.266	C5	Doxycycline	0.32	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	11	0.132	E11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	2	0.173	E2	Ampicillin	15	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	6	0.319	B6	Erythromycin	4.2	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	4	0.313	C4	Chloramphenicol	24	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	9	0.248	D9	Metronidazole	6.92	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	8	0.187	D8	Methicillin	150	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	2	0.175	C2	Ampicillin	60	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	8	0.203	A8	Methicillin	1200	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	3	1.018	G3	Azithromycin	0.25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	1	0.188	C1	Amoxicillin	50	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	10	1.001	F10	Ofloxacin	0.78125	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	5	0.919	G5	Doxycycline	0.02	Rep_3_5002_1	Parental	0
5002_1	Rep_3	D	10	0.963	D10	Ofloxacin	3.125	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	2	0.744	G2	Ampicillin	3.75	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	6	0.982	F6	Erythromycin	0.2625	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	10	0.966	C10	Ofloxacin	6.25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	12	0.827	F12	Teicoplanin	9.375	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	1	0.172	A1	Amoxicillin	200	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	12	0.167	A12	Teicoplanin	300	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	2	0.294	B2	Ampicillin	120	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	5	0.687	E5	Doxycycline	0.08	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	11	0.119	G11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	B	4	0.309	B4	Chloramphenicol	48	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	6	1.015	H6	Erythromycin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	F	11	0.131	F11	Negative_control	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	3	1.022	H3	Azithromycin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	H	8	0.999	H8	Methicillin	0	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	10	0.209	A10	Ofloxacin	25	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	1	0.975	G1	Amoxicillin	3.125	Rep_3_5002_1	Parental	0
5002_1	Rep_3	E	12	0.797	E12	Teicoplanin	18.75	Rep_3_5002_1	Parental	0
5002_1	Rep_3	C	3	0.932	C3	Azithromycin	4	Rep_3_5002_1	Parental	0
5002_1	Rep_3	G	7	0.943	G7	Meropenem	0.0625	Rep_3_5002_1	Parental	0
5002_1	Rep_3	A	2	0.178	A2	Ampicillin	240	Rep_3_5002_1	Parental	0
